#group,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,measurement,tag,dateTime:RFC3339,double,double,double,double,double,double,tag
#default,wetterstation,,,,,,,,,
,id,_time,temperatur,luftfeuchtigkeit,luftdruck,niederschlag,windgeschwindigkeit,helligkeit,windrichtung
,1356598,2026-03-17T01:00:00Z,7.8,82,1008.8,0.4,7.0,10,N
,1356598,2026-03-17T07:00:00Z,9.6,78,1008.6,0.8,9.4,120,NE
,1356598,2026-03-17T11:00:00Z,12.2,73,1008.4,0.5,11.8,600,E
,1356598,2026-03-17T15:00:00Z,14.8,64,1008.2,0.5,11.2,860,SE
,1356598,2026-03-17T21:00:00Z,11.6,74,1008.0,0.2,13.6,160,S
,1356598,2026-03-18T01:00:00Z,9.8,82,1009.7,0.0,10.2,10,NE
,1356598,2026-03-18T07:00:00Z,11.6,78,1009.5,0.0,12.6,120,E
,1356598,2026-03-18T11:00:00Z,14.2,73,1009.3,0.0,12.0,600,SE
,1356598,2026-03-18T15:00:00Z,16.8,64,1009.1,0.0,14.4,860,S
,1356598,2026-03-18T21:00:00Z,13.6,73,1008.9,0.0,16.8,160,SW
,1356598,2026-03-19T01:00:00Z,11.7,81,1010.5,0.0,13.3,10,E
,1356598,2026-03-19T07:00:00Z,13.5,78,1010.3,0.0,12.7,120,SE
,1356598,2026-03-19T11:00:00Z,16.1,72,1010.1,0.0,15.1,600,S
,1356598,2026-03-19T15:00:00Z,18.7,64,1009.9,0.0,17.5,860,SW
,1356598,2026-03-19T21:00:00Z,15.5,73,1009.7,0.0,16.9,160,W
,1356598,2026-03-20T01:00:00Z,13.6,81,1011.4,0.0,13.1,10,SE
,1356598,2026-03-20T07:00:00Z,15.4,77,1011.2,0.0,15.5,180,S
,1356598,2026-03-20T11:00:00Z,18.0,72,1011.0,0.0,17.9,600,SW
,1356598,2026-03-20T15:00:00Z,20.6,63,1010.8,0.0,17.3,860,W
,1356598,2026-03-20T21:00:00Z,17.4,72,1010.6,0.0,19.7,160,NW
,1356598,2026-03-21T01:00:00Z,12.8,79,1012.2,0.0,15.6,10,S
,1356598,2026-03-21T07:00:00Z,14.6,76,1012.0,0.0,18.0,180,SW
